brand,name,price,spec_rating,processor,CPU,Ram,Ram_type,ROM,ROM_type,GPU,display_size,resolution_width,resolution_height,OS,warranty
Lenovo,Thinkpad E15 G4 21DJA0Y0IN Laptop,62990,64,12th Gen Intel Core i7 1255U,"10 Cores (2P + 8E), 12 Threads",16GB,DDR4,512GB,SSD,Intel Integrated Iris Xe,15.6,1920,1080,Windows 11 OS,1
HP,Victus 15-fa1132TX Laptop,62990,66,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",8GB,DDR4,512GB,SSD,4GB NVIDIA GeForce RTX 2050,15.6,1920,1080,Windows 11 OS,1
HP,Victus 15-fb1017AX Gaming Laptop,69501,71,7th Gen Amd Ryzen 5 7535HS,"Hexa Core, 12 Threads",16GB,DDR5,512GB,SSD,4GB NVIDIA GeForce RTX 2050,15.6,1920,1080,Windows 11 OS,1
Lenovo,IdeaPad Slim 5 14IAH8 83BF000UIN Laptop,59990,69.32352941,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16GB,LPDDR5,512GB,SSD,Intel UHD Graphics,14,1920,1080,Windows 11 OS,1
HP,Victus 15-fb1015AX Gaming Laptop,54990,69,7th Gen Amd Ryzen 5 7535HS,"Hexa Core, 12 Threads",8GB,DDR5,512GB,SSD,4GB NVIDIA GeForce RTX 2050,15.6,1920,1080,Windows 11 OS,1
Lenovo,LOQ 15IRH8 82XV00F4IN 2023 Gaming Laptop,64990,69,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16GB,DDR5,512GB,SSD,4GB NVIDIA GeForce RTX 2050,15.6,1920,1080,Windows 11 OS,1
MSI,Modern 15 B12M-612IN Laptop,37729,60,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",16GB,DDR4,512GB,SSD,Intel Integrated Iris Xe,15.6,1920,1080,Windows 11 OS,1
Lenovo,IdeaPad Gaming 3 82K2025MIN Laptop,50712,69,5th Gen AMD Ryzen 5  5600H,"Hexa Core, 12 Threads",16GB,DDR4,512GB,SSD,4GB NVIDIA GeForce GTX 1650,15.6,1920,1080,Windows 11 OS,1
MSI,Modern 14 C11M-029IN Laptop,44990,62,11th Gen Intel Core i5 1155G7,"Quad Core, 8 Threads",16GB,DDR4,512GB,SSD,Intel Integrated Iris Xe,14,1920,1080,Windows 11 OS,1
Chuwi,CoreBook X Laptop,23990,69.32352941,10th Gen Intel Core i3 1005G1,"Dual Core, 4 Threads",8GB,DDR4,512GB,SSD,Intel UHD Graphics,14,1920,1200,Windows 11 OS,1
HP,15s-ey2001AU Laptop,49990,63,5th Gen AMD Ryzen 7   5700U,"Octa Core, 16 Threads",16GB,DDR4,512GB,SSD,AMD Radeon Radeon,15.6,1920,1080,Windows 11 OS,1
HP,Pavilion 15-eg3079TU Laptop,72990,66,13th Gen Intel Core i5 1340p,"12 Cores (4P + 8E), 16 Threads",16GB,DDR4,512GB,SSD,Intel Integrated Intel Iris Xe Graphics,15.6,1920,1080,Windows 11 OS,1
Lenovo,IdeaPad Slim 3 82H803B6IN Laptop,52101,66,11th Gen Intel Core i7 1165G7,"Quad Core, 8 Threads",16GB,DDR4,512GB,SSD,Integrated Intel Iris Xe Graphics,15.6,1920,1080,Windows 11 OS,1
Infinix,INBook X2 Slim Series Laptop,28990,69.32352941,11th Gen Intel Core i3  1115G4,"Dual Core, 4 Threads",8GB,LPDDR4X,512GB,SSD,Intel Integrated UHD Graphics,14,1920,1080,Windows 11 OS,1
HP,Pavilion 15s-fq5190TU Laptop,69490,65,12th Gen Intel Core i7 1255U,"10 Cores (2P + 8E), 12 Threads",16GB,DDR4,512GB,SSD,Intel Iris Xe,15.6,1920,1080,Windows 11 OS,1
Acer,Aspire 5 A515-58P NX.KHJSI.001 Gaming Laptop,39965,69.32352941,13th Gen Intel Core i3 1315U,"Hexa Core (2P + 4E), 8 Threads",8GB,LPDDR5,512GB,SSD,Intel UHD Graphics,15.6,1920,1080,Windows 11 OS,1
Acer,Aspire 5 14 A514-56GM 2023 Gaming Laptop,54990,67,13th Gen Intel Core i5 1335U,"10 Cores (2P + 8E), 12 Threads",16GB,DDR4,512GB,SSD,4GB NVIDIA GeForce RTX 2050,14,1920,1080,Windows 11 OS,1
Asus,Vivobook 15 X1502ZA-EJ532WS Laptop,46999,64,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8GB,DDR4,512GB,SSD,Intel Iris Xe,15.6,1920,1080,Windows 11 OS,1
Asus,Vivobook S15 OLED 2023 S5504VA-MA543WS Laptop,83990,65,13th Gen Intel Core i5 13500H,"12 Cores (4P + 8E), 16 Threads",16GB,LPDDR5,512GB,SSD,Intel Integrated Iris Xe,15.6,2880,1620,Windows 11 OS,1
HP,Victus 15-fb0108AX Gaming Laptop,51499,67,5th Gen AMD Ryzen 5  5600H ,"Hexa Core, 12 Threads",8GB,DDR4,512GB,SSD,4GB AMD Radeon RX 6500M Graphics,15.6,1920,1080,Windows 11 OS,1
Dell,Vostro 3425 M552321WIN9S Laptop,50990,68,5th Gen AMD Ryzen 5 5625U,"Hexa Core, 12 Threads",16GB,DDR4,512GB,SSD,AMD Radeon Graphics,14,1920,1080,Windows 11 OS,1
HP,Chromebook 15a-na0012TU Laptop,23990,69.32352941,Intel Celeron  N4500,"Dual Core, 2 Threads",4GB,LPDDR4x,128GB,Hard-Disk,Intel Integrated UHD Graphics,15.6,1366,768,Chrome OS,1
Acer,Aspire 3 A315-24P NX.KDESI.003 Laptop,27990,69.32352941,7th Gen AMD Ryzen 3 7320U,"Quad Core, 8 Threads",8GB,LPDDR5,512GB,SSD,AMD Radeon Graphiics,15.6,1920,1080,Windows 11 OS,1
HP,Pavilion x360 14-ek1010TU Laptop,79990,70,13th Gen Intel Core i5 1335U,"10 Cores (2P + 8E), 12 Threads",16GB,DDR4,1TB,SSD,Intel Integrated Iris Xe,14,1920,1080,Windows 11 OS,1
Samsung,Galaxy Book 3 NP750XFG-KA3IN Laptop,84390,60,13th Gen Intel Core i7 1355U,"10 Cores (2P + 8E), 12 Threads",16GB,LPDDR4x,512GB,SSD,Intel Iris Xe Graphics,15.6,1920,1080,Windows 11 OS,1
Infinix,INBook Y1 Plus Laptop,24990,69.32352941,10th Gen Intel Core i3 1005G1,"Dual Core, 4 Threads",8GB,LPDDR4X,256GB,SSD,Intel Integrated UHD,15.6,1920,1080,Windows 11 OS,1
Samsung,Galaxy Book 3 Ultra NP960XFH-XA1IN Laptop,281990,82,13th Gen Intel Core i9 13900H,"14 Cores (6P + 8E), 20 Threads",32GB,LPDDR5,1TB,SSD,NVIDIA GeForce RTX 4070,16,2880,1800,Windows 11 OS,1
Lenovo,IdeaPad 1 15AMN7 82VG00EQIN Laptop,26590,69.32352941,AMD Athlon 7120U,"Dual Core, 2 Threads",8GB,LPDDR5,512GB,SSD,AMD Radeon 610M Graphics,15.6,1366,768,Windows 11 OS,1
Infinix,INBook X2 Slim Series XL23 2023 Laptop,37990,60,11th Gen Intel Core i5 1155G7,"Quad Core, 8 Threads",16GB,LPDDR4X,1TB,SSD,Intel Integrated Iris Xe,14,1920,1080,Windows 11 OS,1
Asus,Vivobook Pro 15 M6500RC-HN741WS Laptop,71189,70,6th Gen AMD Ryzen 7 6800H,"Octa Core, 16 Threads",16GB,LPDDR5,512GB,SSD,4GB NVIDIA GeForce RTX 3050,15.6,1920,1080,Windows 11 OS,1
HP,Victus 16-s0095AX Gaming Laptop,85999,76,7th Gen AMD Ryzen 7 7840HS,"Octa Core, 16 Threads",16GB,DDR5,512GB,SSD,6GB NVIDIA GeForce RTX 3050,16.1,1920,1080,Windows 11 OS,1
Lenovo,Yoga 7 82YM0074IN Laptop,93990,80,7th Gen AMD Ryzen 7 7735U,"Octa Core, 16 Threads",16GB,DDR5,1TB,SSD,AMD Radeon Graphics,14,2880,1800,Windows 11 OS,1
Asus,Zenbook Flip 14 OLED UP5401ZA-KU541WS Laptop,84990,69,12th Gen Intel Core i5 12500H,"12 Cores (4P + 8E), 16 Threads",16GB,LPDDR5,512GB,SSD,Intel Iris Xe Graphics,14,3840,2400,Windows 11 OS,1
Dell,Inspiron 3530 2023 Laptop,44190,69.32352941,13th Gen Intel Core i3 1305U,"5 Cores (1P + 4E), 6 Threads",8GB,DDR4,1TB,SSD,Intel Integrated UHD,15.6,1920,1080,Windows 11 OS,1
Acer,Predator 16 NH.QLUSI.005 Laptop,159990,79,13th Gen Intel Core i9 13900HX,"24 Cores (8P + 16E), 32 Threads",16GB,DDR5,1TB,SSD,8GB NVIDIA GeForce RTX 4060,16,2560,1600,Windows 11 OS,1
HP,Victus 15-fb0134AX Gaming Laptop,52990,70,5th Gen AMD Ryzen 5 5600H,"Hexa Core, 12 Threads",16GB,DDR4,512GB,SSD,4GB AMD Radeon RX 6500M Graphics,15.6,1920,1080,Windows 11 OS,1
Acer,Aspire Lite 2023 AL15-51 Laptop,39990,62,11th Gen Intel Core i5 1155G7,"Quad Core, 8 Threads",8GB,DDR4,512GB,SSD,Intel Iris Xe Graphics,15.6,1920,1080,Windows 11 OS,1
Dell,Inspiron 2023 14 5430 Laptop,73990,63,13th Gen Intel Core i5 1335U,"10 Cores (2P + 8E), 12 Threads",16GB,LPDDR5,1TB,SSD,Intel Iris Xe Graphics,14,1920,1200,Windows 11 OS,1
Lenovo,IdeaPad Gaming 3 82K101L7IN Laptop,57500,70,11th Gen Intel Core i5 11320H,"Quad Core, 8 Threads",16GB,DDR4,512GB,SSD,4GB NVIDIA GTX 1650,15.6,1920,1080,Windows 11 OS,1
Asus,Vivobook Pro 15 M6500QF-HN521WS Laptop,59990,60,5th Gen AMD Ryzen 5 5600HS,"Hexa Core, 12 Threads",8GB,DDR4,512GB,SSD,4GB NVIDIA GeForce RTX 2050,15.6,1920,1080,Windows 11 OS,1
Acer,Aspire 7 A715-76G UN.QMESI.004 Gaming Laptop,53990,69,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16GB,DDR4,512GB,SSD,4GB NVIDIA GeForce GTX 1650,15.6,1920,1080,Windows 11 OS,1
Asus,VivoBook 14 X415EA-EK326WS Notebook,33990,69.32352941,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8GB,DDR4,512GB,SSD,Intel Integrated Intel UHD,14,1920,1080,Windows 11 OS,1
Dell,Inspiron 5630 Laptop,75990,70,13th Gen Intel Core i5 1340P,"12 Cores (4P + 8E), 16 Threads",16GB,LPDDR5,512GB,SSD,Intel Iris Xe Graphics,16,2560,1600,Windows 11 OS,1
Apple,MacBook Air 15 2023 Laptop,144990,69.32352941,Apple M2,Octa Core (4P + 4E),8GB,DDR4,512GB,SSD,10-Core GPU,15.3,2880,1864,Mac OS,1
Asus,Vivobook 15 X1502ZA-EJ542WS Laptop,60539,64,12th Gen Intel Core i5 12500H ,"12 Cores (4P + 8E), 16 Threads",16GB,DDR4,512GB,SSD,Intel Iris Xe,15.6,1920,1080,Windows 11 OS,1
Asus,Vivobook 15 M1502QA-EJ742WS Laptop,56990,69.32352941,5th Gen AMD Ryzen 7 5800H,"Octa Core, 16 Threads",16GB,DDR4,512GB,SSD,AMD Radeon,15.6,1920,1080,Windows OS,1
HP,Pavilion 15-eg3027TU Laptop,75533,66,13th Gen Intel Core i5 1340p,"12 Cores (4P + 8E), 16 Threads",16GB,DDR4,512GB,SSD,Intel Integrated Intel Iris Xe Graphics,15.6,1920,1080,Windows 11 OS,1
Dell,G15-5530 GN553064GRM002ORB1 Gaming Laptop,74990,69,13th Gen Intel Core i5 13450HX,"10 Cores (6P + 4E), 16 Threads",8GB,DDR5,512GB,SSD,6GB NVIDIA GeForce RTX 3050,15.6,1920,1080,Windows 11 OS,1
Asus,TUF Gaming A15 FA577NU-LP082W Gaming Laptop,94990,77,7th Gen AMD Ryzen 7 7735HS,"Octa Core, 16 Threads",16GB,DDR5,512GB,SSD,6GB NVIDIA GeForce RTX 4050,15.6,1920,1080,Windows 11 OS,1
Asus,ROG Strix G16 2023 G614JV-N4141WS Gaming Laptop,179990,77,13th Gen Intel Core i9 13980HX,"24 Cores (8P + 16E), 32 Threads",16GB,DDR5,1TB,SSD,8GB NVIDIA GeForce RTX 4060,16,2560,1600,Windows 11 OS,1
Asus,Vivobook 16X 2023 K3605ZC-MB541WS Laptop,77990,72,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16GB,DDR4,512GB,SSD,4GB NVIDIA GeForce RTX 3050,16,1920,1200,Windows 11 OS,1
HP,15s-fr5009TU Laptop,37990,69.32352941,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8GB,DDR4,512GB,SSD,Intel UHD Graphics,15.6,1920,1080,Windows 11 OS,1
HP,15-fd0013TU Laptop,62990,69.32352941,13th Gen Intel Core i5 1335U,"10 Cores (2P + 8E), 12 Threads",16GB,DDR4,512GB,SSD,Intel Integrated Integrated,15.6,1920,1080,Windows 11 OS,1
Acer,Predator Helios Neo 16 PHN16-71 2023 Gaming Laptop,129999,78,13th Gen Intel Core i7 13700HX,"16 Cores (8P + 8E), 24 Threads",16GB,DDR5,1TB,SSD,8GB NVIDIA GeForce RTX 4060,16,2560,1600,Windows 11 OS,1
HP,Pavilion 15-eh2050AU Laptop,52990,62,5th Gen AMD Ryzen 5 5625U,"Hexa Core, 12 Threads",8GB,DDR4,512GB,SSD,AMD Radeon Graphics,15.6,1920,1080,Windows 11 OS,1
Acer,Predator Helios Neo 16 PHN16-71 Laptop,104990,75,13th Gen Intel Core i7 13700HX,"16 Cores (8P + 8E), 24 Threads",16GB,DDR5,512GB,SSD,6GB NVIDIA GeForce RTX 4050,16,1920,1200,Windows 11 OS,1
Realme,Book Prime CloudPro002 Laptop,47999,62,11th Gen Intel Core i5 11320H,"Quad Core, 8 Threads",8GB,LPDDR4X,512GB,SSD,Intel Iris Xe Graphics,14,2160,1440,Windows 11 OS,1
Acer,Predator Helios Neo 16 PHN16-71 Gaming Laptop,114499,75,13th Gen Intel Core i7 13700HX,"16 Cores (8P + 8E), 24 Threads",16GB,DDR5,1TB,SSD,6GB NVIDIA GeForce RTX 4050,16,1920,1200,Windows 11 OS,1
HP,Pavilion 15-eg2017TU Laptop,49990,60,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8GB,DDR4,512GB,SSD,Intel UHD Graphics,15.6,1920,1080,Windows 11 OS,1
Asus,Vivobook 15 X1502ZA-EJ953WS Laptop,39990,69.32352941,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8GB,DDR4,512GB,SSD,Intel Iris Xe,15.6,1920,1080,Windows 11 OS,1
Acer,Nitro 5 AN515-47 2023 Gaming Laptop,68990,73,7th Gen AMD Ryzen 5 7535HS,"Hexa Core, 12 Threads",16GB,DDR5,512GB,SSD,4GB NVIDIA GeForce RTX 3050,15.6,1920,1080,Windows 11 OS,1
Acer,Nitro 5 AN515-47 Gaming Laptop,79990,72,7th Gen AMD Ryzen 7 7735HS,"Octa Core, 16 Threads",16GB,DDR5,512GB,SSD,4GB NVIDIA GeForce RTX 3050,15.6,1920,1080,Windows 11 OS,1
MSI,GF63 Thin 11UC-1293IN Gaming Laptop,66490,75,11th Gen Intel Core i7 11800H,"Octa Core, 16 Threads",16GB,DDR4,512GB,SSD,4GB NVIDIA Geforce RTX 3050,15.6,1920,1080,Windows 11 OS,2
Asus,Vivobook S14 Flip 2022 TN3402QA-LZ741WS Laptop,69990,70,5th Gen AMD Ryzen 7 5800H,"Octa Core, 16 Threads",16GB,DDR4,512GB,SSD,AMD Radeon Graphics,14,1920,1200,Windows 11 OS,1
Asus,Vivobook S15 OLED 2023 S5504VA-MA543WS Laptop,86490,65,13th Gen Intel Core i5 13500H,"12 Cores (4P + 8E), 16 Threads",16GB,LPDDR5,512GB,SSD,Intel Integrated Iris Xe,15.6,2880,1620,Windows 11 OS,1
HP,15-fc0025AU Laptop,32790,69.32352941,7th Gen AMD Ryzen 3 7320U,"Quad Core, 8 Threads",8GB,DDR4,512GB,SSD,AMD Radeon AMD,15.6,1920,1080,Windows 11 OS,1
Asus,ROG Zephyrus Duo 16,429990,69.32352941,7th Gen AMD Ryzen 9  7945HX ,"16 Cores, 32 Threads",32GB,DDR5,2TB,SSD,16GB NVIDIA GeForce RTX 4090,16,3840,2400,Windows 11 OS,1
Dell,Vostro 3425 M552321WIN9S Laptop,49990,68,5th Gen AMD Ryzen 5 5625U,"Hexa Core, 12 Threads",16GB,DDR4,512GB,SSD,AMD Radeon Graphics,14,1920,1080,Windows 11 OS,1
MSI,Modern 14 C7M-062IN Laptop,43990,62,7th Gen AMD Ryzen 5 7530U,"Hexa Core, 12 Threads",16GB,DDR4,512GB,SSD,AMD Radeon AMD,14,1920,1080,Windows 11 OS,1
MSI,Modern 14 C11M-030IN Laptop,36990,69.32352941,11th Gen Intel Core i5 1155G7,"Quad Core, 8 Threads",8GB,DDR4,512GB,SSD,Intel Integrated Iris Xe,14,1920,1080,Windows 11 OS,1
MSI,Sword 15 A12VF-401IN Gaming Laptop,102990,79,12th Gen Intel Core i7 12650H,"10 Cores (6P + 4E), 16 Threads",16GB,DDR5,1TB,SSD,8GB NVIDIA GeForce RTX 4060,15.6,1920,1080,Windows 11 OS,2
Acer,Extensa 15 EX215-33 Laptop,29990,69.32352941,Intel Core i3 N305,"Octa Core, 8 Threads",8GB,LPDDR5,256GB,SSD,Intel Integrated UHD,15.6,1920,1080,Windows 11 OS,1
HP,Pavilion x360 14-ek1010TU Laptop,77889,70,13th Gen Intel Core i5 1335U,"10 Cores (2P + 8E), 12 Threads",16GB,DDR4,1TB,SSD,Intel Integrated Iris Xe,14,1920,1080,Windows 11 OS,1
Samsung,Galaxy Book 3 NP750XFG-KB1IN Laptop,69990,69.32352941,13th Gen Intel Core i5 1335U,"10 Cores (2P + 8E), 12 Threads",8GB,LPDDR4x,512GB,SSD,Intel Iris Xe Graphics,15.6,1920,1080,Windows 11 OS,1
Samsung,Galaxy Book 3 360 NP750QFG-KA3IN Laptop,138990,74,13th Gen Intel Core i7 1360P,"12 Cores (4P + 8E), 16 Threads",16GB,LPDDR4x,1TB,SSD,Intel Iris Xe Graphics,15.6,1920,1080,Windows 11 OS,1
HP,Victus 15-fb0777AX Gaming Laptop,51990,67,5th Gen AMD Ryzen 5  5600H ,"Hexa Core, 12 Threads",8GB,DDR4,512GB,SSD,4GB AMD Radeon RX 6500M Graphics,15.6,1920,1080,Windows 11 OS,1
Samsung,Galaxy Book 3 Laptop,69990,69.32352941,13th Gen Intel Core i5 1340P,"12 Cores (4P + 8E), 16 Threads",8GB,LPDDR5,512GB,SSD,Intel Iris Xe Graphics,14,1920,1080,Windows 11 OS,1
Asus,Vivobook Pro 15 OLED M3500QC-L1502WS Gaming Laptop,72990,66,5th Gen AMD Ryzen 5 5600H,"Hexa Core, 12 Threads",16GB,DDR4,512GB,SSD,4GB NVIDIA GeForce RTX 3050,15.6,1920,1080,Windows 11 OS,1
Asus,Vivobook 16X M1603QA-MB512WS Laptop,50400,67,5th Gen AMD Ryzen 5 5600H,"Hexa Core, 12 Threads",16GB,DDR4,512GB,SSD,AMD Radeon Vega 7,16,1200,1920,Windows 11 OS,1
Dell,Latitude 3430 Laptop,108000,60,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8GB,DDR4,512GB,SSD,Intel Iris Xe Graphics,14,1366,768,Windows 11 OS,1
Dell,Inspiron 3520 Laptop,50990,69.32352941,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8GB,DDR4,1TB,Hard-Disk,Intel Iris Xe Graphics,15.6,1920,1080,Windows 11 OS,1
Lenovo,IdeaPad Gaming 3 15IHU6 82K101EDIN Laptop,47990,67,11th Gen Intel Core i5 11300H,"Quad Core, 8 Threads",8GB,DDR4,512GB,SSD,4GB NVIDIA GeForce RTX 3050 Graphics,15.6,1920,1080,Windows 11 OS,1
HP,Omen 16-n0079AX Gaming Laptop,91990,80,6th Gen AMD Ryzen 7  6800H,"Octa Core, 16 Threads",16GB,DDR5,512GB,SSD,8GB AMD Radeon RX 6650M,16.1,1920,1080,Windows 11 OS,1
Acer,One 14 Z2-493 Laptop,25449,69.32352941,3rd Gen AMD Ryzen 3  3250U,"Dual Core, 4 Threads",8GB,DDR4,256GB,SSD,AMD Radeon Graphics,14,1366,768,Windows 11 OS,1
Acer,Aspire 3 A315-59 Laptop,33207,69.32352941,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8GB,DDR4,512GB,SSD,Intel Graphics ,15.6,1920,1080,Windows 11 OS,1
HP,Pavilion 15s-FR5007TU Laptop,52990,69.32352941,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8GB,DDR4,512GB,SSD,Intel Iris Xe,15.6,1920,1080,Windows 11 OS,1
Dell,Vostro 3425 Laptop,42434,66,5th Gen AMD Ryzen 5 5625U,"Hexa Core, 12 Threads",8GB,DDR4,512GB,SSD,AMD Radeon Graphics,14,1920,1080,Windows 11 OS,1
HP,15s-du3614TU Laptop,42200,65,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8GB,DDR4,1TB,Hard-Disk,Intel Integrated UHD,15.6,1920,1080,Windows 11 OS,1
HP,Pavilion 15s-eq2182AU Laptop,41990,60,5th Gen AMD Ryzen 5  5500U ,"Hexa Core, 12 Threads",16GB,DDR4,512GB,SSD,AMD Radeon Graphics,15.6,1920,1080,Windows 11 OS,1
Asus,TUF Gaming A15 2022 FA577RE-HN055WS Gaming Laptop,80900,79,6th Gen AMD Ryzen 7 6800H ,"Octa Core, 16 Threads",16GB,DDR5,512GB,SSD,4GB NVIDIA GeForce RTX 3050 Ti,15.6,1920,1080,Windows 11 OS,1
Asus,Vivobook 15 Touch X515EA-EZ311WS Laptop,38990,69.32352941,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8GB,DDR4,512GB,SSD,Intel Integrated UHD Graphics,15.6,1920,1080,Windows 11 OS,1
Apple,MacBook Air 2022 Laptop,135990,69.32352941,Apple M2 Apple M2 Chip,Octa Core,8GB,Unified,512GB,SSD,10-Core GPU,13.6,2560,1664,Mac OS,1
Asus,Vivobook S15 OLED K3502ZA-L501WS Laptop,72490,64,12th Gen Intel Core i5 12500H,"12 Cores (4P + 8E), 16 Threads",16GB,DDR4,512GB,SSD,Intel Iris XE Graphics,15.6,1920,1080,Windows 11 OS,1
Asus,Vivobook S14 OLED S3402ZA-KM501WS Laptop,72490,62,12th Gen Intel Core i5 12500H,"12 Cores (4P + 8E), 16 Threads",16GB,DDR4,512GB,SSD,Intel Iris Xe Graphics,14,2880,1800,Windows 11 OS,1
Dell,Inspiron 3511 Laptop,35990,69.32352941,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8GB,DDR4,512GB,SSD,Intel UHD Graphics,15.56,1920,1080,Windows 11 OS,1
Xiaomi,Mi Notebook Ultra Laptop,45989,64,11th Gen Intel Core i5 11300H ,"Quad Core, 8 Threads",8GB,DDR4,512GB,SSD,Intel Iris Xe Graphics,15.6,3200,2000,Windows 10  OS,1
Dell,Inspiron 3501 Laptop,52500,69.32352941,11th Gen Intel Core i5 1135G7 ,"Quad Core, 8 Threads",8GB,DDR4,1TB,Hard-Disk,Intel Iris Xe Graphics,15.6,1920,1080,Windows 10 OS,1
Dell,Latitude 3410 Laptop,59999,69.32352941,10th Gen Intel Core i5 10210U ,"Quad Core, 8 Threads",8GB,DDR4,512GB,SSD,Intel HD,14,1366,768,Ubuntu OS,1
Apple,MacBook Air 2020 MGN73HN Laptop,112990,69.32352941,Apple M1 Apple M1 Chip,Octa Core (4P + 4E),8GB,DDR4,512GB,SSD,Apple M1 Integrated Graphics,13.3,2560,1600,Mac OS,1
Avita,Pura NS14A6 Laptop,21990,69.32352941,3rd Gen AMD Ryzen 5  3500U,"Quad Core, 8 Threads",8GB,DDR4,512GB,SSD,AMD Radeon Vega 8,14,1920,1080,Windows 10 OS,1
Apple,MacBook Pro 16 Laptop,201498,81,9th Gen Intel Core i9,Octa Core,32GB,DDR4,2TB,SSD,4GB Radeon Pro 5500M,16,3072,1920,Mac Catalina OS,1
HP,Victus 15-fa1145TX Gaming Laptop,64990,72,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16GB,DDR4,1TB,SSD,4GB NVIDIA GeForce RTX 2050,15.6,1920,1080,Windows 11 OS,1
Lenovo,Thinkpad E14 G4 21E3S00P00 Laptop,68999,63,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8GB,DDR4,512GB,SSD,Intel Iris Xe Graphics,14,1920,1080,DOS OS,0
Lenovo,Ideapad Gaming 3 15ARH7 82SB00QJIN Laptop,60990,66,7th Gen AMD Ryzen 5 7535HS,"Hexa Core, 12 Threads",8GB,DDR5,512GB,SSD,4GB NVIDIA GeForce RTX 2050,15.6,1920,1080,Windows 11 OS,1
Dell,Inspiron 3520 IN3520P9K46002ORS1 Laptop,40990,69.32352941,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8GB,DDR4,512GB,SSD,Intel Integrated UHD,15.6,1920,1080,Windows 11 OS,1
Lenovo,LOQ 15APH8 82XT004KIN Gaming Laptop,107690,75,7th Gen AMD Ryzen 7 7840HS,"Octa Core, 16 Threads",16GB,DDR5,512GB,SSD,8GB NVIDIA GeForce RTX 4060,15.6,1920,1080,Windows 11 OS,1
Lenovo,V15 G4 Laptop,25490,69.32352941,AMD Athlon Silver 7120U,"Dual Core, 2 Threads",8GB,LPDDR5,512GB,SSD,AMD Radeon 610M,15.6,1920,1080,Windows 11 OS,1
HP,15s-FR5012TU Laptop,38999,69.32352941,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8GB,DDR4,512GB,SSD,Intel UHD Graphics,15.6,1920,1080,Windows 11 OS,1
Infinix,INBook Y1 Plus 15 XL28 Laptop,59990,69.32352941,10th Gen Intel Core i5 1035G1,"Quad Core, 8 Threads",8GB,LPDDR4X,512GB,SSD,Intel Integrated UHD,15.6,1920,1080,Windows 11 OS,1
HP,Victus 15-FA1098TX Laptop,60990,64,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",8GB,DDR4,512GB,SSD,4GB NVIDIA GeForce RTX 2050,15.6,1920,1080,Windows 11 OS,1
HP,Victus 15-fb1002AX Gaming Laptop,55500,70,7th Gen AMD Ryzen 5 7535HS,"Hexa Core, 12 Threads",8GB,DDR5,512GB,SSD,4GB NVIDIA GeForce RTX 2050,15.6,1920,1080,Windows 11 OS,1
HP,Pavilion Plus ‎16-ab0456TX Laptop,124999,76,13th Gen Intel Core i7 13700H,"14 Cores (6P + 8E), 20 Threads",16GB,DDR4,1TB,SSD,6GB NVIDIA GeForce RTX 3050,16,2560,1600,Windows 11 OS,1
HP,Omen 16-XD0007ax Gaming Laptop,104990,76,7th Gen AMD Ryzen 7 7840HS,"Octa Core, 16 Threads",16GB,DDR5,1TB,SSD,6GB NVIDIA GeForce RTX 4050,16.1,1920,1080,Windows 11 OS,1
MSI,Katana 15 B12VGK-1295IN Gaming Laptop,136990,72,12th Gen Intel Core i7 12650H,"10 Cores (6P + 4E), 16 Threads",16GB,DDR5,1TB,SSD,8GB NVIDIA GeForce RTX 4070,15.6,1920,1080,Windows 11 OS,2
Lenovo,Legion Slim 5 82Y9009JIN Gaming Laptop,131990,83,7th Gen AMD Ryzen 7 7840HS,"Octa Core, 16 Threads",16GB,DDR5,1TB,SSD,8GB NVIDIA GeForce RTX 4060,16,2560,1600,Windows 11 OS,1
